CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4808011,Red Deer,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,377.00000
4808011,Red Deer,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$,379.00000
4808011,Red Deer,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$,388.00000
4808011,Red Deer,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$,413.00000
4808011,Red Deer,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$,429.00000
4808011,Red Deer,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$,439.00000
4808011,Red Deer,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.50000
4808011,Red Deer,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$,444.50000
4808011,Red Deer,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$,439.50000
4808011,Red Deer,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$,441.00000
4808011,Red Deer,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.00000
4808011,Red Deer,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.50000
4808011,Red Deer,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$,483.00000
4808011,Red Deer,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$,499.50000
4808011,Red Deer,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$,531.50000
4808011,Red Deer,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$,540.00000
4808011,Red Deer,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$,542.50000
4808011,Red Deer,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$,546.50000
4808011,Red Deer,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,557.00000
4808011,Red Deer,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,613.00000
4808011,Red Deer,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,705.50000
4808011,Red Deer,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,736.50000
4808011,Red Deer,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,725.00000
4808011,Red Deer,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,706.50000
4808011,Red Deer,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,696.00000
4808011,Red Deer,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,735.50000
4808011,Red Deer,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,797.00000
4808011,Red Deer,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,844.00000
4808011,Red Deer,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,868.00000
4808011,Red Deer,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,846.00000
4808011,Red Deer,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,839.00000
4808011,Red Deer,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,859.00000
4808011,Red Deer,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,862.00000
4808011,Red Deer,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,819.25000
4808011,Red Deer,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,856.00000
4808011,Red Deer,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,921.75000
4805018,Strathmore,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4805018,Strathmore,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,768.00000
4805018,Strathmore,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,771.00000
4805018,Strathmore,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,756.00000
4805018,Strathmore,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,774.00000
4805018,Strathmore,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,752.00000
4805018,Strathmore,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,799.00000
4805018,Strathmore,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,833.00000
4805018,Strathmore,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,824.00000
4805018,Strathmore,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,833.00000
4805018,Strathmore,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4805018,Strathmore,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,814.00000
4805018,Strathmore,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,827.00000
4805018,Strathmore,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,820.00000
4805018,Strathmore,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,813.33000
4805018,Strathmore,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,1050.00000
4805026,Drumheller,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,440.00000
4805026,Drumheller,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,470.00000
4805026,Drumheller,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,513.00000
4805026,Drumheller,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4805026,Drumheller,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,597.00000
4805026,Drumheller,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,616.00000
4805026,Drumheller,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,626.00000
4805026,Drumheller,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,660.00000
4805026,Drumheller,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,675.00000
4805026,Drumheller,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,736.00000
4805026,Drumheller,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,737.00000
4805026,Drumheller,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,740.00000
4805026,Drumheller,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,729.00000
4805026,Drumheller,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,729.00000
4805026,Drumheller,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,719.00000
4808012,Sylvan Lake,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808012,Sylvan Lake,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,610.00000
4808012,Sylvan Lake,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,654.00000
4808012,Sylvan Lake,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,623.00000
4808012,Sylvan Lake,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.50000
4808012,Sylvan Lake,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,645.50000
4808012,Sylvan Lake,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,665.50000
4808012,Sylvan Lake,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,709.00000
4808012,Sylvan Lake,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,909.00000
4808012,Sylvan Lake,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,837.00000
4808012,Sylvan Lake,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,824.00000
4808012,Sylvan Lake,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,920.00000
4808012,Sylvan Lake,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,840.00000
4808012,Sylvan Lake,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,863.00000
4808012,Sylvan Lake,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,904.33000
4808012,Sylvan Lake,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,988.67000
4801014,Bow Island,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,440.00000
4801014,Bow Island,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,455.00000
4801014,Bow Island,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,490.00000
4801014,Bow Island,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,540.00000
4801014,Bow Island,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,553.00000
4801014,Bow Island,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4801014,Bow Island,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,590.00000
4801014,Bow Island,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,593.00000
4807054,Wainwright,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,463.00000
4807054,Wainwright,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,490.00000
4807054,Wainwright,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4807054,Wainwright,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,642.00000
4807054,Wainwright,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,642.00000
4807054,Wainwright,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,632.00000
4807054,Wainwright,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,650.00000
4807054,Wainwright,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,656.00000
4807054,Wainwright,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,684.00000
4807054,Wainwright,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,736.00000
4807054,Wainwright,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,735.00000
4807054,Wainwright,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,737.00000
4807054,Wainwright,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,716.00000
4807054,Wainwright,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,734.00000
4807054,Wainwright,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,740.00000
4808001,Red Deer County,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808001,Red Deer County,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$
4807026,Stettler,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.00000
4807026,Stettler,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,482.00000
4807026,Stettler,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,540.00000
4807026,Stettler,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,576.00000
4807026,Stettler,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,599.00000
4807026,Stettler,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,581.00000
4807026,Stettler,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,584.00000
4807026,Stettler,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,597.00000
4807026,Stettler,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,605.00000
4807026,Stettler,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,608.00000
4807026,Stettler,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,638.00000
4807026,Stettler,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,673.00000
4807026,Stettler,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,639.00000
4807026,Stettler,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,672.00000
4807026,Stettler,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,734.00000
4808022,Lacombe County,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808022,Lacombe County,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808006,Bowden,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,415.00000
4808006,Bowden,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,447.00000
4808006,Bowden,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,495.00000
4808006,Bowden,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4808006,Bowden,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,564.00000
4808006,Bowden,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,596.00000
4808006,Bowden,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,571.00000
4808006,Bowden,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,591.00000
4808006,Bowden,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,604.00000
4808006,Bowden,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,618.00000
4808006,Bowden,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,679.00000
4808006,Bowden,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,664.00000
4808006,Bowden,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.00000
4808006,Bowden,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,654.00000
4808006,Bowden,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,687.00000
4808008,Innisfail,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.00000
4808008,Innisfail,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,523.00000
4808008,Innisfail,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,521.00000
4808008,Innisfail,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,579.00000
4808008,Innisfail,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,619.00000
4808008,Innisfail,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,621.00000
4808008,Innisfail,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,613.00000
4808008,Innisfail,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4808008,Innisfail,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,641.00000
4808008,Innisfail,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,730.00000
4808008,Innisfail,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,786.00000
4808008,Innisfail,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,794.00000
4808008,Innisfail,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,781.00000
4808008,Innisfail,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,774.00000
4808008,Innisfail,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,753.00000
4808009,Penhold,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,482.00000
4808009,Penhold,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,548.00000
4808009,Penhold,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,611.00000
4808009,Penhold,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,663.00000
4808009,Penhold,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,701.00000
4808009,Penhold,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,670.00000
4808009,Penhold,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,679.00000
4808009,Penhold,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,679.00000
4808009,Penhold,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,708.00000
4808009,Penhold,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,631.00000
4808009,Penhold,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,646.00000
4808009,Penhold,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,646.00000
4808009,Penhold,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,715.00000
4808009,Penhold,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,690.00000
4808024,Eckville,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,517.00000
4808024,Eckville,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808024,Eckville,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808024,Eckville,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808024,Eckville,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,713.00000
4808024,Eckville,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808024,Eckville,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808024,Eckville,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4808029,Blackfalds,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4808029,Blackfalds,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4808029,Blackfalds,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4808029,Blackfalds,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,735.00000
4808029,Blackfalds,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,825.00000
4808029,Blackfalds,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,825.00000
4808029,Blackfalds,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,933.00000
4808029,Blackfalds,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,855.00000
4811016,Leduc,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,362.00000
4811061,Edmonton,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,374.00000
4811061,Edmonton,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$,376.00000
4811061,Edmonton,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$,386.00000
4811061,Edmonton,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$,414.00000
4811061,Edmonton,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$,433.00000
4811061,Edmonton,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$,443.00000
4811061,Edmonton,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$,441.00000
4811061,Edmonton,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$,432.00000
4811061,Edmonton,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$,423.00000
4811061,Edmonton,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$,421.00000
4811061,Edmonton,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$,429.00000
4811061,Edmonton,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$,450.00000
4811061,Edmonton,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$,467.50000
4811061,Edmonton,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$,489.50000
4811061,Edmonton,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$,537.00000
4811061,Edmonton,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$,575.50000
4811061,Edmonton,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$,588.50000
4811061,Edmonton,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$,597.00000
4811061,Edmonton,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,608.50000
4811061,Edmonton,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,666.50000
4811061,Edmonton,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,783.50000
4811061,Edmonton,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,847.50000
4811061,Edmonton,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,842.00000
4811061,Edmonton,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,844.00000
4811061,Edmonton,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,857.50000
